"postcode sector","All usual residents aged 3 and over","English (English or Welsh if in Wales)","Welsh/Cymraeg (in England only)","Other UK language: Total","Other UK language: Gaelic (Irish)","Other UK language: Gaelic (Scottish)","Other UK language: Manx Gaelic","Other UK language: Gaelic (Not otherwise specified)","Other UK language: Cornish","Other UK language: Scots","Other UK language: Gypsy/Traveller languages","French","Portuguese","Spanish","Other European Language (EU): Total","Other European Language (EU): Italian","Other European Language (EU): German","Other European Language (EU): Polish","Other European Language (EU): Slovak","Other European Language (EU): Czech","Other European Language (EU): Romanian","Other European Language (EU): Lithuanian","Other European Language (EU): Latvian","Other European Language (EU): Hungarian","Other European Language (EU): Bulgarian","Other European Language (EU): Greek","Other European Language (EU): Dutch","Other European Language (EU): Swedish","Other European Language (EU): Danish","Other European Language (EU): Finnish","Other European Language (EU): Estonian","Other European Language (EU): Slovenian","Other European Language (EU): Maltese","Other European Language (EU): Any other European Language (EU)","Other European Language (non EU): Total","Other European Language (non EU): Albanian","Other European Language (non EU): Serbian/Croatian/Bosnian","Other European Language (non EU): Ukrainian","Other European Language (non EU): Any other Eastern European Language (non EU)","Other European Language (non EU): Northern European Language (non EU)","Other European Language (non-national): Total","Other European Language (non-national): Romani language (any)","Other European Language (non-national): Yiddish","Russian","Turkish","Arabic","West/Central Asian Language: Total","West/Central Asian Language: Hebrew","West/Central Asian Language: Kurdish","West/Central Asian Language: Persian/Farsi","West/Central Asian Language: Pashto","West/Central Asian Language: West/Central Asian Language (all other)","South Asian Language: Total","South Asian Language: Urdu","South Asian Language: Hindi","South Asian Language: Panjabi","South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)","South Asian Language: Bengali (with Sylheti and Chatgaya)","South Asian Language: Gujarati","South Asian Language: Marathi","South Asian Language: Telugu","South Asian Language: Tamil","South Asian Language: Malayalam","South Asian Language: Sinhala","South Asian Language: Nepalese","South Asian Language: South Asian Language (all other)","East Asian Language: Total","East Asian Language: Mandarin Chinese","East Asian Language: Cantonese Chinese","East Asian Language: All other Chinese","East Asian Language: Japanese","East Asian Language: Korean","East Asian Language: Vietnamese","East Asian Language: Thai","East Asian Language: Malay","East Asian Language: Tagalog/Filipino","East Asian Language: East Asian Language (all other)","Oceanic/Australian language (any)","North/South American language (any)","Caribbean Creole: Total","Caribbean Creole: Caribbean Creole (English-based)","Caribbean Creole: Caribbean Creole (all other)","African Language: Total","African Language: Amharic","African Language: Tigrinya","African Language: Somali","African Language: Krio","African Language: Akan","African Language: Yoruba","African Language: Igbo","African Language: Swahili/Kiswahili","African Language: Luganda","African Language: Lingala","African Language: Shona","African Language: Afrikaans","African Language: Any other Nigerian language","African Language: West African language (all other)","African Language: African language (all other)","Other Languages: Total","Other Languages: All other languages","Sign Language: Total","Sign Language: British sign language","Sign Language: Sign Language (all other)","Sign Language: Any Sign Communication System"

"AL2  2",5895,5702,0,1,1,0,0,0,0,0,0,9,2,5,69,8,8,17,5,3,0,2,1,2,9,5,3,3,0,3,0,0,0,0,8,6,2,0,0,0,0,0,0,3,3,11,5,2,0,2,0,1,41,3,4,0,0,19,4,0,0,8,2,1,0,0,25,0,9,9,3,0,1,1,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,3,2,0,1
"AL2  3",7750,7533,3,1,1,0,0,0,0,0,0,9,6,10,57,12,12,14,0,4,5,0,1,1,0,1,5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1,8,5,0,0,4,0,1,66,1,5,4,0,20,18,0,0,16,0,1,0,1,27,0,7,8,5,0,0,4,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,3,7,0,1,3,2,2,3,1,0,2
"AL3  4",5340,5167,4,0,0,0,0,0,0,0,0,23,6,9,89,11,18,31,1,6,0,0,0,0,1,3,4,8,4,0,0,0,0,2,5,0,2,2,1,0,0,0,0,2,0,2,2,0,0,2,0,0,7,3,0,2,0,0,2,0,0,0,0,0,0,0,16,1,1,5,3,1,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,4,3,0,1
"AL3  5",8374,7811,3,0,0,0,0,0,0,0,0,43,16,22,166,31,17,55,8,12,4,0,3,8,4,6,8,2,1,3,0,1,1,2,13,3,5,1,0,4,0,0,0,10,15,20,8,5,0,1,1,1,168,17,4,6,0,109,12,0,2,7,7,1,0,3,45,2,2,6,5,0,1,3,0,23,3,0,0,1,0,1,31,0,0,0,0,3,0,2,1,0,0,11,7,1,0,6,1,1,1,0,1,0
"AL3  6",4098,3796,0,0,0,0,0,0,0,0,0,10,3,6,61,9,8,15,1,2,6,6,0,2,1,5,3,1,1,1,0,0,0,0,5,0,4,0,0,1,0,0,0,6,6,17,0,0,0,0,0,0,154,15,2,1,0,118,12,0,0,3,1,0,0,2,22,6,1,1,2,0,0,0,0,10,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,1,2,1,0,1
"AL3  7",5131,4998,0,0,0,0,0,0,0,0,0,8,5,10,43,3,4,14,2,0,7,1,0,1,0,2,0,6,2,0,0,0,1,0,5,0,1,0,0,4,0,0,0,4,3,10,1,1,0,0,0,0,31,1,3,0,0,9,16,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,4,2,0,2
"AL3  8",4260,4202,0,0,0,0,0,0,0,0,0,6,4,4,29,2,7,8,0,4,4,0,0,2,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL4  0",8905,8428,1,0,0,0,0,0,0,0,0,20,15,24,162,45,13,51,7,6,5,4,4,6,3,4,6,3,3,2,0,0,0,0,6,3,0,0,0,3,0,0,0,1,7,33,11,2,0,6,0,3,109,21,4,20,1,55,4,0,0,3,0,0,0,1,59,0,5,27,5,0,0,7,4,10,1,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,7,1,0,0,2,6,6,11,9,2,0
"AL4  8",6217,6092,0,0,0,0,0,0,0,0,0,9,3,12,61,2,9,23,8,1,0,0,0,5,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,2,0,1,11,4,2,0,0,3,0,0,0,2,0,0,0,0,6,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,1,1,0,0
"AL4  9",11072,10609,1,0,0,0,0,0,0,0,0,21,15,14,198,33,19,67,7,7,6,11,4,6,11,8,6,4,5,3,0,0,0,1,6,0,3,2,1,0,0,0,0,14,13,9,4,0,0,0,3,1,95,8,2,2,1,48,23,0,0,8,0,3,0,0,37,1,6,11,9,0,0,4,0,6,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,15,9,0,1,0,4,4,6,6,0,0
"AL5  1",5789,5621,1,0,0,0,0,0,0,0,0,9,4,7,46,9,11,5,2,1,0,0,0,1,2,0,10,5,0,0,0,0,0,0,10,4,4,0,2,0,0,0,0,4,2,2,4,1,0,3,0,0,37,4,0,0,0,27,1,0,0,3,0,0,0,2,32,2,8,16,3,2,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0
"AL5  2",4543,4416,1,0,0,0,0,0,0,0,0,9,5,5,42,6,15,9,0,3,0,0,2,1,1,0,3,1,0,0,1,0,0,0,4,0,2,0,1,1,0,0,0,1,3,1,3,0,0,2,0,1,26,2,2,4,0,6,5,1,0,5,0,1,0,0,22,0,7,5,4,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3
"AL5  3",4463,4372,0,0,0,0,0,0,0,0,0,16,4,7,18,4,2,2,0,2,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,3,3,1,0,1,0,1,19,9,0,1,0,1,6,0,0,2,0,0,0,0,12,0,0,5,3,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"AL5  4",6170,5959,1,1,0,0,0,0,0,1,0,15,12,19,71,10,15,15,3,3,2,2,0,5,4,0,6,3,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,4,0,3,7,3,0,3,0,1,15,4,0,4,0,4,0,0,0,1,1,0,0,1,51,0,18,13,1,8,0,1,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,4,2,0,1,0,0,0,0,0,0
"AL5  5",7917,7605,2,0,0,0,0,0,0,0,0,31,17,20,130,14,20,39,5,6,2,3,0,16,1,4,10,2,4,1,3,0,0,0,5,2,1,0,1,1,0,0,0,8,9,4,18,1,0,16,0,1,25,8,3,0,0,7,0,3,0,3,0,0,0,1,23,0,2,12,1,3,0,2,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,4,5,2,0,1,1,1,1,0,1,0
"AL6  0",6282,6154,0,0,0,0,0,0,0,0,0,10,0,6,43,4,11,10,2,4,4,1,0,4,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,5,10,1,0,5,1,3,20,6,4,1,0,0,6,0,0,2,0,0,1,0,13,5,1,3,1,0,0,2,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,7,0,2,0,1,1,2,0,1,1
"AL6  9",4641,4521,0,0,0,0,0,0,0,0,0,4,2,3,41,3,8,19,0,3,3,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,2,0,0,36,3,1,3,0,2,4,0,0,3,4,4,12,0,16,0,1,6,1,0,0,4,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,0
"AL7  1",5500,5208,0,0,0,0,0,0,0,0,0,15,4,8,113,5,3,66,4,14,7,7,0,3,0,1,2,1,0,0,0,0,0,0,20,10,3,1,0,6,0,0,0,3,8,7,7,0,0,7,0,0,65,12,10,2,0,7,7,4,4,3,2,7,0,7,24,2,2,4,0,0,0,1,0,13,2,0,0,0,0,0,18,2,0,0,0,2,1,0,0,0,1,4,4,2,0,2,0,0,0,0,0,0
"AL7  2",7102,6717,2,1,1,0,0,0,0,0,0,16,9,6,139,5,9,69,3,7,17,9,0,2,4,8,0,2,1,0,1,0,0,2,7,5,0,1,0,1,0,0,0,4,6,12,18,1,0,14,3,0,90,1,13,6,0,11,23,6,8,10,0,5,4,3,27,0,5,9,3,0,0,2,2,5,1,0,0,0,0,0,46,0,0,0,0,1,1,0,4,0,0,31,4,2,2,1,0,0,2,1,0,1
"AL7  3",9600,9051,0,0,0,0,0,0,0,0,0,17,12,23,230,10,14,138,10,2,9,5,4,11,13,2,1,6,3,1,0,1,0,0,14,6,6,0,0,2,0,0,0,5,9,9,7,2,0,4,1,0,87,10,3,1,0,12,27,0,0,15,2,13,0,4,64,2,8,15,6,2,2,2,0,27,0,0,0,0,0,0,66,0,0,0,1,4,2,1,5,0,0,38,7,0,0,8,4,4,2,2,0,0
"AL7  4",10106,9398,0,0,0,0,0,0,0,0,0,21,34,17,210,13,10,82,11,15,24,5,0,14,11,12,8,1,1,2,0,1,0,0,15,5,7,0,2,1,0,0,0,24,4,26,13,1,0,12,0,0,135,12,20,0,0,24,20,8,9,17,12,4,1,8,148,3,8,18,7,2,0,4,3,96,7,0,2,0,0,0,51,0,0,0,0,1,4,5,3,3,1,14,14,1,0,5,4,4,4,2,0,2
"AL8  6",5671,5390,1,2,1,0,0,1,0,0,0,13,6,15,90,12,5,22,3,11,3,3,6,6,0,8,1,4,2,1,0,1,2,0,7,2,1,2,0,2,0,0,0,11,3,7,22,0,0,20,0,2,53,6,6,2,0,12,12,0,1,7,3,2,1,1,40,2,1,26,5,0,0,5,0,1,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,5,0,1,2,1,1,0,0,0,0
"AL8  7",7124,6892,0,0,0,0,0,0,0,0,0,12,5,12,89,9,5,46,7,5,1,4,0,2,0,2,3,2,1,0,0,0,0,2,9,1,2,2,0,4,0,0,0,2,3,1,14,2,2,8,0,2,22,1,11,0,0,2,5,0,1,0,0,2,0,0,46,2,7,20,9,1,1,2,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,2,2,3,3,0,0
"AL9  5",2023,1852,1,0,0,0,0,0,0,0,0,6,4,3,73,4,5,46,0,0,8,5,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,10,9,2,0,0,2,0,0,35,4,1,3,0,8,6,0,0,1,5,6,0,1,23,3,2,13,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AL9  6",1405,1324,0,0,0,0,0,0,0,0,0,3,2,0,20,0,4,7,1,1,0,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,20,20,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"AL9  7",6732,6439,1,1,1,0,0,0,0,0,0,6,13,7,136,13,19,30,13,0,1,0,2,20,2,27,2,1,2,1,2,0,0,1,4,1,0,0,0,3,0,0,0,6,13,5,9,0,0,8,0,1,49,6,4,4,0,4,22,0,0,4,1,4,0,0,29,0,4,10,5,0,0,4,0,1,5,0,0,0,0,0,11,0,0,0,0,0,2,2,1,0,0,5,0,0,0,1,3,3,0,0,0,0
"B1   1",4017,2915,2,3,0,0,0,0,0,2,1,32,19,33,199,19,24,36,6,5,22,14,7,8,7,34,5,3,1,4,2,0,1,1,5,4,1,0,0,0,0,0,0,19,12,61,128,0,24,102,1,1,125,15,39,9,0,7,17,8,10,2,6,0,1,11,433,28,26,309,16,12,3,25,10,0,4,0,0,1,1,0,28,2,0,15,0,0,4,1,1,0,0,1,0,0,0,4,1,1,1,1,0,0
"B1   2",2777,2060,1,1,1,0,0,0,0,0,0,21,12,18,144,11,11,36,11,8,16,6,5,11,2,14,4,1,0,0,6,0,0,2,13,10,3,0,0,0,1,1,0,22,1,43,86,0,41,37,2,6,83,10,27,7,4,7,3,0,12,11,1,1,0,0,216,19,33,137,7,5,3,6,6,0,0,0,0,1,1,0,50,2,16,18,0,0,2,0,6,0,3,2,0,0,0,1,3,3,1,1,0,0
"B1   3",969,821,0,1,1,0,0,0,0,0,0,13,1,13,53,10,1,14,2,3,6,1,3,4,2,5,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,7,1,2,3,2,0,1,0,0,13,1,5,2,1,0,0,0,0,0,4,0,0,0,39,2,2,26,0,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B10  0",7664,4580,0,1,1,0,0,0,0,0,0,58,3,8,87,1,11,39,1,2,8,4,0,0,0,2,10,5,4,0,0,0,0,0,14,8,5,0,0,1,0,0,0,0,0,143,228,0,40,33,153,2,2208,673,4,327,211,914,36,0,0,0,1,0,1,41,26,0,7,13,0,0,2,0,2,2,0,0,2,2,2,0,300,2,6,269,0,0,1,1,4,0,1,3,0,4,4,5,0,0,4,2,2,0
"B10  9",16643,10134,0,0,0,0,0,0,0,0,0,34,6,3,225,1,11,89,3,0,20,11,2,1,0,1,46,10,14,16,0,0,0,0,17,0,5,0,0,12,0,0,0,0,2,318,582,0,57,11,514,0,4546,1914,8,716,758,991,27,0,1,30,10,4,0,87,44,4,9,15,0,4,6,1,0,3,2,0,0,0,0,0,702,2,15,636,0,1,0,2,8,0,4,1,0,4,4,25,19,19,11,5,5,1
"B11  1",10974,6388,0,0,0,0,0,0,0,0,0,17,7,2,110,4,11,34,0,0,27,4,0,9,1,0,5,2,13,0,0,0,0,0,18,6,12,0,0,0,0,0,0,0,2,348,412,0,33,22,354,3,3232,1495,24,475,309,606,166,0,0,6,0,0,1,150,51,8,11,20,0,2,4,1,0,0,5,1,5,1,0,1,352,4,28,283,0,1,0,2,1,0,1,8,0,9,10,5,18,18,10,8,2,0
"B11  2",3239,2164,0,0,0,0,0,0,0,0,0,1,3,1,80,4,2,55,0,6,6,1,0,1,0,0,5,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,1,51,59,0,1,4,54,0,801,335,2,111,94,155,73,0,0,2,0,0,1,28,8,1,0,2,0,0,3,0,0,1,1,0,0,0,0,0,63,0,6,50,0,0,0,0,1,0,0,2,0,0,1,3,2,2,1,0,0,1
"B11  3",16050,11124,0,1,0,0,0,0,0,0,1,28,25,6,298,6,7,168,16,34,32,16,2,2,0,0,10,3,1,0,0,0,1,0,20,7,9,3,0,1,0,0,0,9,5,145,372,0,42,45,278,7,3755,1691,23,615,432,368,350,6,5,106,0,6,0,153,67,5,9,15,0,2,6,9,0,20,1,1,3,0,0,0,171,0,2,112,0,0,6,0,5,0,0,25,1,1,7,12,13,13,7,4,3,0
"B11  4",11626,6967,0,1,0,0,0,0,0,0,1,7,7,8,126,1,10,42,0,0,34,0,1,6,0,0,31,1,0,0,0,0,0,0,5,3,0,0,1,1,0,0,0,5,5,207,226,0,20,14,189,3,3792,1747,16,620,621,310,302,1,7,11,7,3,3,144,80,9,10,32,0,0,13,7,0,7,2,0,0,0,0,0,167,1,6,139,0,0,3,2,2,1,1,1,0,7,3,1,15,15,8,5,3,0
"B12  0",3877,2790,1,0,0,0,0,0,0,0,0,16,23,2,85,3,5,36,3,6,6,4,5,1,0,1,8,1,3,2,1,0,0,0,11,1,9,0,1,0,0,0,0,5,0,165,145,0,62,52,29,2,286,93,14,65,15,87,3,0,0,1,0,1,0,7,133,15,19,77,2,0,4,5,4,6,1,0,0,0,0,0,209,14,14,168,0,0,0,0,3,0,1,5,0,0,2,2,2,2,4,3,1,0
"B12  8",8186,4983,0,1,0,0,0,0,0,1,0,11,3,1,91,2,21,17,2,3,31,4,0,1,0,2,7,1,0,0,0,0,0,0,21,1,20,0,0,0,0,0,0,9,0,608,178,0,32,53,91,2,1986,883,13,360,140,378,95,0,0,10,0,0,6,101,45,8,13,13,1,0,1,1,6,0,2,0,1,0,0,0,224,3,13,172,0,0,0,0,3,0,1,3,0,5,13,11,16,16,8,6,2,0
"B12  9",7474,5023,1,0,0,0,0,0,0,0,0,14,6,5,100,4,13,39,1,2,13,4,1,5,0,2,13,3,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,3,0,711,90,0,21,28,37,4,1271,567,13,298,213,103,38,0,0,4,2,1,0,32,71,2,4,49,2,0,1,0,0,13,0,0,1,1,1,0,159,3,16,120,0,0,3,1,2,0,0,9,0,3,2,0,8,8,5,2,3,0
"B13  0",12922,11678,1,1,1,0,0,0,0,0,0,12,12,6,109,16,13,49,4,0,0,1,4,1,5,6,8,2,0,0,0,0,0,0,22,16,5,1,0,0,0,0,0,5,7,55,58,0,11,18,29,0,828,334,30,233,40,33,117,0,0,8,1,0,0,32,61,6,16,28,1,1,0,3,2,3,1,0,0,0,0,0,47,0,7,21,0,1,0,4,0,0,0,11,0,0,1,2,4,4,16,10,4,2
"B13  8",7403,6516,3,0,0,0,0,0,0,0,0,27,8,11,124,10,23,37,7,6,6,4,0,3,1,2,7,5,2,10,1,0,0,0,12,0,10,2,0,0,0,0,0,2,2,106,59,0,16,23,20,0,448,183,11,125,41,10,49,1,0,6,0,1,0,21,49,5,10,15,0,2,10,5,0,2,0,0,0,0,0,0,27,1,1,12,0,0,0,0,2,0,0,1,2,0,1,7,2,2,7,5,2,0
"B13  9",15032,12403,5,2,0,0,0,1,0,0,1,38,9,24,199,26,21,64,5,4,32,3,1,13,6,10,4,6,1,2,0,0,0,1,19,1,10,0,0,8,0,0,0,14,8,173,142,2,18,46,71,5,1728,816,15,349,163,113,155,1,2,10,2,0,4,98,89,13,8,39,3,3,9,8,1,2,3,0,1,2,1,1,156,1,12,113,0,2,1,4,5,0,0,11,1,1,0,5,8,8,12,6,2,4
