"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"CT20 3",8355,6155,5987,30,138,127,59,16,8,7,4,5,19,68,4,19,1,44,11,2,9,27,1,8,2,5,1,18,1,0,6,8,3,1170,0,0,0,0,10,7,3,0,0,1151,0,0,13,5,9,1124,9,0,5,0,4,0,13,12,2,10,0,1,0,0,0,9,9,5,4,0,2,979
"CT21 4",4523,3931,3851,18,62,60,37,4,12,4,2,2,13,23,3,7,6,7,2,0,2,14,0,3,0,3,0,11,0,0,3,7,1,34,1,1,0,0,5,3,0,2,0,21,0,0,5,1,0,15,7,3,0,1,3,0,8,7,1,6,0,0,1,1,0,3,3,3,0,0,0,533
"CT21 5",6618,5508,5346,43,119,112,57,11,10,9,0,5,22,55,1,29,4,21,7,2,5,5,0,2,1,1,0,3,0,0,1,0,2,128,0,0,0,0,6,2,2,2,0,105,0,10,14,0,0,81,17,1,8,0,8,0,13,11,2,9,0,2,0,0,0,8,8,6,2,0,0,956
"CT21 6",5073,3988,3902,12,74,71,46,15,7,8,3,3,10,25,3,10,0,12,3,2,1,3,0,0,0,0,0,3,1,0,2,0,0,56,1,0,1,0,4,2,2,0,0,37,0,2,14,0,1,20,14,3,3,3,5,0,6,4,1,3,0,1,1,0,1,5,5,5,0,0,0,1015
"CT3  1",4774,3872,3777,21,74,70,38,8,8,0,1,0,21,32,0,16,1,15,4,0,4,9,1,3,1,1,1,5,1,0,2,2,0,14,0,0,0,0,2,0,0,2,0,9,1,3,4,0,0,1,3,1,1,0,1,0,7,6,1,5,0,1,0,0,0,11,11,7,4,0,0,861
"CT3  2",2562,1943,1900,5,38,37,10,3,3,2,0,1,1,27,3,15,0,9,1,0,1,3,1,0,0,0,0,2,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,2,2,0,1,0,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,603
"CT3  3",3958,2974,2939,7,28,27,10,1,2,4,0,0,3,17,5,4,1,7,1,1,0,13,2,3,2,1,0,8,0,0,4,3,1,11,1,1,0,0,2,2,0,0,0,3,1,0,1,0,0,1,5,0,0,0,5,0,4,3,0,3,0,1,0,0,0,1,1,0,1,0,0,955
"CT3  4",3181,2577,2498,11,68,53,19,7,4,1,4,1,2,34,8,13,2,11,15,6,9,9,1,3,1,1,1,5,0,0,1,3,1,22,2,0,0,2,2,0,0,0,2,9,0,0,3,0,1,5,9,0,9,0,0,0,6,6,0,6,0,0,0,0,0,2,2,1,1,0,0,565
"CT4  5",3822,3300,3069,13,218,206,49,12,4,7,2,4,20,157,37,67,3,50,12,6,6,8,0,0,0,0,0,8,0,0,6,2,0,31,0,0,0,0,3,3,0,0,0,17,0,0,4,1,1,11,11,0,9,0,2,0,8,5,0,5,0,3,0,0,0,7,7,3,4,0,0,468
"CT4  6",4586,3944,3856,16,72,72,46,5,16,2,0,4,19,26,7,10,1,8,0,0,0,13,2,2,1,1,0,9,0,0,3,4,2,12,1,0,1,0,2,1,0,1,0,8,0,0,2,2,0,4,1,0,1,0,0,0,6,6,2,4,0,0,0,0,0,5,5,4,1,0,0,606
"CT4  7",4642,3901,3665,27,209,201,65,13,15,6,2,6,23,136,18,43,6,69,8,0,8,11,2,1,0,1,0,8,0,0,6,1,1,28,1,1,0,0,8,4,2,1,1,15,0,0,7,3,0,5,4,1,1,0,2,0,14,13,1,12,0,0,1,0,1,8,8,6,2,0,0,680
"CT4  8",1560,1308,1285,3,20,19,16,1,3,4,1,0,7,3,0,3,0,0,1,0,1,14,3,0,0,0,0,11,1,0,6,1,3,5,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,3,3,3,0,0,0,229
"CT5  1",6765,5590,5436,50,104,93,53,6,8,5,4,3,27,40,0,21,4,15,11,4,7,6,0,1,0,1,0,5,0,0,4,0,1,37,0,0,0,0,4,3,0,1,0,22,0,8,10,2,1,1,11,3,3,0,5,0,24,22,6,16,0,2,0,0,0,17,16,9,7,1,0,1091
"CT5  2",6827,5525,5410,42,73,62,50,6,13,4,0,3,24,12,0,6,3,3,11,7,4,12,0,5,0,4,1,7,1,0,5,1,0,36,0,0,0,0,7,5,0,2,0,13,0,3,6,2,1,1,16,1,15,0,0,0,9,8,1,7,0,1,0,0,0,8,8,6,2,0,0,1237
"CT5  3",8143,7121,6979,20,122,119,60,8,19,7,4,8,14,59,6,28,7,18,3,1,2,11,0,3,0,2,1,8,2,0,1,5,0,32,0,0,0,0,7,1,0,6,0,18,0,0,9,1,1,7,7,1,1,1,4,0,11,9,2,7,0,1,1,1,0,12,12,6,6,0,0,956
"CT5  4",8299,6661,6540,44,77,71,55,18,11,1,1,5,19,16,1,11,3,1,6,1,5,17,2,2,0,1,1,13,0,0,7,5,1,26,0,0,0,0,6,5,0,1,0,15,0,4,8,2,1,0,5,0,4,1,0,0,12,10,2,8,0,1,1,0,1,5,5,5,0,0,0,1578
"CT6  5",7936,6308,6136,43,129,100,42,6,4,6,2,4,20,58,10,27,10,11,29,14,15,17,3,2,1,1,0,12,1,0,3,3,5,41,0,0,0,0,9,6,0,3,0,20,3,5,7,2,2,1,12,1,3,1,7,0,23,11,5,6,0,6,6,5,1,3,3,2,1,0,0,1544
"CT6  6",7673,6098,5995,30,73,68,48,10,5,11,2,2,18,20,0,10,1,9,5,0,5,16,1,4,0,4,0,11,0,0,2,3,6,27,0,0,0,0,0,0,0,0,0,17,0,0,14,1,0,2,10,1,4,0,5,0,12,9,3,6,0,0,3,0,3,9,9,7,2,0,0,1511
"CT6  7",9260,7324,7246,25,53,49,29,2,5,5,0,6,11,20,0,9,2,9,4,1,3,18,2,4,1,2,1,12,0,0,2,4,6,25,1,0,0,1,3,2,0,1,0,9,0,1,8,0,0,0,12,4,6,0,2,0,7,6,3,3,0,1,0,0,0,9,9,8,1,0,0,1877
"CT6  8",7084,5344,5248,37,59,54,34,4,6,3,2,9,10,20,2,8,2,8,5,4,1,10,0,2,0,2,0,8,0,0,3,0,5,36,0,0,0,0,4,2,1,0,1,19,0,2,11,1,2,3,13,2,7,0,4,0,10,8,2,6,0,0,2,2,0,5,5,1,4,0,0,1679
"CT7  0",4221,3456,3267,17,172,167,42,7,8,6,1,3,17,125,20,52,0,53,5,2,3,13,0,5,0,5,0,8,1,0,0,2,5,35,2,1,0,1,1,0,0,1,0,29,0,2,21,2,0,4,3,0,3,0,0,0,12,10,1,9,0,2,0,0,0,5,5,2,3,0,0,700
"CT7  9",6184,5134,5016,44,74,64,45,6,8,9,3,3,16,19,3,5,0,11,10,2,8,12,0,3,0,3,0,9,1,0,6,1,1,25,0,0,0,0,3,1,0,2,0,8,0,0,8,0,0,0,14,6,5,0,3,0,14,11,1,10,0,2,1,0,1,4,4,3,1,0,1,994
"CT8  8",6105,4646,4501,49,96,79,41,5,4,12,4,3,13,38,3,24,2,9,17,9,8,18,5,7,1,6,0,6,0,0,5,1,0,50,2,1,0,1,3,3,0,0,0,17,0,2,13,2,0,0,28,0,24,1,3,0,10,9,2,7,0,0,1,1,0,3,3,2,1,0,0,1378
"CT9  1",8696,6392,5945,34,413,397,73,11,9,13,9,4,27,324,25,99,8,192,16,6,10,37,6,10,3,6,1,21,3,0,9,7,2,59,1,1,0,0,7,4,1,2,0,38,2,2,25,3,4,2,13,2,8,0,3,0,16,13,4,9,0,0,3,0,3,10,10,4,6,0,0,2182
"CT9  2",9335,6544,5482,41,1021,993,69,20,4,12,8,4,21,924,48,171,9,696,28,15,13,60,1,27,2,16,9,32,4,0,7,7,14,104,11,4,1,6,5,1,0,3,1,59,11,1,25,9,6,7,29,6,21,1,1,0,18,12,2,10,0,2,4,0,4,8,8,7,1,0,0,2601
"CT9  3",8800,6464,6268,50,146,134,56,3,27,5,1,3,17,78,7,34,1,36,12,9,3,14,1,5,1,4,0,8,0,0,4,3,1,36,0,0,0,0,6,3,1,2,0,21,2,0,8,9,2,0,9,2,3,0,4,0,13,12,4,8,0,1,0,0,0,5,5,1,4,0,0,2268
"CT9  4",6455,5185,4982,23,180,172,43,7,6,8,0,1,21,129,8,63,6,52,8,1,7,30,5,11,3,7,1,14,1,0,4,7,2,117,0,0,0,0,6,2,0,4,0,92,1,4,58,20,9,0,19,6,10,1,2,0,19,15,3,12,0,1,3,0,3,6,6,4,2,0,0,1098
"CT9  5",8411,6411,6215,49,147,140,64,13,6,9,4,6,26,76,5,27,2,42,7,3,4,21,1,3,1,1,1,17,2,0,9,2,4,36,1,1,0,0,9,5,1,2,1,22,0,4,11,1,0,6,4,0,2,0,2,0,11,11,2,9,0,0,0,0,0,1,1,0,1,0,1,1930
"CV1  1",6247,5352,4979,65,308,301,109,19,18,10,16,3,43,192,11,90,26,65,7,3,4,86,1,48,10,30,8,37,6,0,6,12,13,294,31,3,0,28,92,87,0,0,5,142,0,9,110,19,4,0,29,7,3,1,18,0,21,8,2,6,1,5,7,3,4,3,3,3,0,0,0,491
"CV1  2",16318,13419,12571,187,661,629,203,40,32,21,13,6,91,426,9,201,82,134,32,14,18,375,20,251,22,206,23,104,18,1,5,38,42,1001,200,13,7,180,261,223,10,4,24,474,7,21,385,46,11,4,62,26,2,6,28,4,48,24,6,18,0,7,17,11,6,6,6,2,4,0,0,1469
"CV1  3",7073,5360,4769,125,466,452,158,37,10,18,19,5,69,294,14,120,46,114,14,3,11,187,6,89,10,68,11,92,18,0,15,35,24,545,124,6,10,108,176,148,18,1,9,181,11,7,150,6,3,4,63,41,4,3,15,1,30,9,1,8,4,5,12,10,2,9,9,4,5,0,1,941
"CV1  4",10661,8078,7367,160,551,512,170,33,31,15,11,7,73,342,32,159,44,107,39,14,25,353,76,156,21,114,21,121,28,0,6,41,46,713,115,5,18,92,83,73,1,4,5,489,25,24,320,111,6,3,25,17,1,0,7,1,41,15,5,10,3,5,18,13,5,13,13,11,2,0,3,1460
"CV1  5",16008,12721,11415,162,1144,1095,406,41,44,31,21,14,255,689,24,241,143,281,49,10,39,551,108,247,32,178,37,196,48,3,12,59,74,1041,168,21,26,121,178,153,9,4,12,649,39,103,374,118,10,5,41,11,2,5,23,5,58,34,11,23,3,6,15,11,4,6,6,4,2,0,0,1631
"CV10 0",9177,6485,6385,25,75,71,33,6,8,4,1,4,10,38,0,28,4,6,4,1,3,16,0,4,1,3,0,12,0,0,9,3,0,48,6,0,6,0,1,0,1,0,0,39,0,0,18,3,1,17,2,0,1,0,1,0,5,5,3,2,0,0,0,0,0,3,3,3,0,0,0,2620
"CV10 7",14653,11400,10848,64,488,477,71,9,6,20,11,1,24,406,3,367,2,34,11,3,8,63,2,22,5,14,3,39,6,0,11,15,7,231,5,4,1,0,7,4,2,0,1,208,0,2,138,17,5,46,11,3,2,1,5,0,11,11,3,8,0,0,0,0,0,13,11,9,2,2,0,2935
"CV10 8",8096,5230,5130,15,85,82,15,3,1,8,0,1,2,67,0,61,3,3,3,3,0,17,1,2,0,2,0,14,0,0,2,8,4,35,2,0,2,0,0,0,0,0,0,29,0,2,11,4,2,10,4,0,1,0,3,0,4,3,0,3,0,0,1,1,0,2,2,1,1,0,0,2808
"CV10 9",9545,6405,6292,13,100,99,21,1,5,9,0,1,5,78,5,62,0,11,1,0,1,29,0,4,1,2,1,25,1,0,4,15,5,29,0,0,0,0,0,0,0,0,0,25,0,1,13,0,0,11,4,0,2,0,2,0,5,5,2,3,0,0,0,0,0,3,3,1,2,0,0,3074
"CV11 4",12955,9729,9486,48,195,187,48,4,6,17,9,3,9,139,4,105,3,27,8,2,6,24,0,8,5,1,2,16,1,0,6,4,5,183,2,0,1,1,9,9,0,0,0,154,1,4,57,5,0,87,18,7,6,0,5,0,13,9,3,6,0,1,3,0,3,5,5,3,2,0,0,3001
"CV11 5",11843,8726,8442,39,245,238,53,7,13,17,2,7,7,185,1,155,6,23,7,3,4,64,11,10,2,8,0,43,1,0,8,29,5,355,4,3,1,0,7,7,0,0,0,331,7,1,141,36,3,143,13,0,3,0,10,0,14,8,6,2,2,3,1,1,0,1,1,1,0,0,0,2683
"CV11 6",14383,12063,11858,37,168,167,73,12,16,11,8,4,22,94,2,81,2,9,1,0,1,21,3,7,6,1,0,11,2,0,3,3,3,327,1,0,1,0,4,2,0,0,2,317,1,1,60,5,0,250,5,0,3,0,2,0,20,9,6,3,7,0,4,2,2,10,7,5,2,3,0,1942
"CV12 0",5780,4097,4010,34,53,52,27,0,4,1,6,1,15,25,0,17,0,8,1,1,0,20,3,7,3,3,1,10,1,0,0,2,7,48,0,0,0,0,1,1,0,0,0,41,0,0,26,3,4,8,6,0,4,0,2,0,5,4,3,1,0,0,1,0,1,0,0,0,0,0,1,1609
"CV12 8",9249,6919,6856,30,33,30,16,1,6,3,1,0,5,14,0,11,0,3,3,2,1,44,0,16,4,10,2,28,3,0,9,9,7,47,0,0,0,0,3,3,0,0,0,39,0,4,26,3,0,6,5,0,1,4,0,0,5,2,1,1,3,0,0,0,0,6,6,5,1,0,0,2228
"CV12 9",8601,6126,6058,29,39,37,17,2,4,2,0,0,9,20,0,8,6,6,2,0,2,14,2,7,3,3,1,5,0,0,0,3,2,41,2,2,0,0,2,2,0,0,0,34,0,0,13,4,4,13,3,0,1,0,2,0,9,5,1,4,0,0,4,2,2,3,3,2,1,0,0,2408
"CV13 0",5459,4419,4352,13,54,50,26,7,4,1,1,0,13,24,0,14,2,8,4,1,3,11,0,1,0,0,1,10,0,0,6,3,1,11,0,0,0,0,1,0,0,1,0,5,0,0,3,1,1,0,5,0,1,0,4,0,5,4,1,3,1,0,0,0,0,3,3,3,0,0,1,1009
"CV13 6",3903,3237,3192,14,31,28,19,3,2,4,0,2,8,9,0,5,3,1,3,0,3,11,2,3,0,0,3,6,0,1,5,0,0,20,2,0,0,2,3,0,0,0,3,14,0,4,4,5,0,1,1,0,0,1,0,0,11,7,3,4,0,4,0,0,0,4,4,1,3,0,0,620
"CV2  1",10448,6648,6104,169,375,365,142,26,9,21,29,5,52,223,10,152,10,51,10,1,9,226,13,101,9,36,56,112,15,0,3,61,33,134,10,1,2,7,9,9,0,0,0,105,7,3,73,13,8,1,10,2,6,2,0,0,35,7,4,3,0,2,26,23,3,2,2,1,1,0,0,3403
"CV2  2",22635,18841,17610,294,937,928,240,31,39,30,16,18,106,688,11,512,12,153,9,3,6,324,19,119,23,69,27,186,15,1,12,101,57,773,31,10,3,18,30,18,0,12,0,559,13,4,438,73,23,8,153,26,104,3,20,0,58,33,4,29,0,5,20,18,2,15,13,10,3,2,0,2624
"CV2  3",8441,6060,5641,136,283,276,109,23,25,3,5,0,53,167,1,127,5,34,7,0,7,131,41,56,16,35,5,34,3,0,8,17,6,260,14,4,2,8,6,6,0,0,0,220,15,0,151,36,13,5,20,8,10,0,2,0,14,6,3,3,0,0,8,6,2,0,0,0,0,0,0,1976
"CV2  4",11070,7578,6484,183,911,901,304,47,31,17,15,11,183,597,33,297,80,187,10,3,7,497,44,285,26,212,47,168,21,0,20,82,45,784,104,4,8,92,85,75,2,1,7,562,11,30,471,37,8,5,30,10,4,0,16,3,33,10,2,8,1,4,18,17,1,9,8,5,3,1,0,2169
"CV2  5",9105,7008,6631,161,216,211,73,9,8,14,5,4,33,138,4,100,5,29,5,1,4,125,17,57,16,35,6,51,0,0,9,23,19,213,19,5,0,14,6,4,0,1,1,161,0,2,132,14,10,3,27,2,17,3,5,0,21,6,1,5,1,2,12,7,5,2,2,1,1,0,0,1736
"CV21 1",10611,8149,7569,41,539,530,118,19,14,4,37,5,39,412,11,308,6,87,9,1,8,97,0,44,23,15,6,53,5,0,13,27,8,95,3,0,3,0,11,7,1,0,3,67,0,1,42,8,4,12,14,9,3,0,2,0,23,10,7,3,0,4,9,9,0,3,3,3,0,0,0,2244
"CV21 2",11545,9178,8522,81,575,559,167,22,19,20,53,4,49,392,6,290,17,79,16,10,6,107,1,46,19,23,4,60,1,0,15,28,16,151,4,0,0,4,13,8,0,1,4,120,0,13,70,14,10,13,14,0,10,0,4,0,46,18,4,14,13,5,10,10,0,6,6,5,1,0,0,2057
"CV21 3",9841,7835,7206,63,566,554,157,16,19,11,60,5,46,397,12,264,15,106,12,9,3,102,0,43,21,13,9,59,2,0,18,23,16,140,9,1,2,6,15,14,0,0,1,97,2,8,52,21,11,3,19,3,9,1,6,0,46,16,6,10,1,16,13,9,4,8,8,5,3,0,0,1710
"CV21 4",5056,3765,3629,48,88,79,22,2,4,2,2,5,7,57,0,36,0,21,9,1,8,10,0,1,0,1,0,9,0,0,4,4,1,27,0,0,0,0,4,2,2,0,0,21,0,6,6,2,0,7,2,0,1,0,1,0,9,4,3,1,1,2,2,2,0,4,4,4,0,0,0,1241
"CV22 5",8127,6691,6427,66,198,174,84,20,9,13,9,8,25,90,2,61,7,20,24,0,24,23,0,9,4,3,2,14,2,0,4,0,8,122,3,0,0,3,21,10,2,5,4,58,1,1,48,3,3,2,40,9,18,1,12,0,20,14,4,10,0,0,6,5,1,5,5,4,1,0,0,1266
"CV22 6",8696,6791,6475,56,260,249,90,10,8,13,18,3,38,159,13,101,9,36,11,2,9,34,2,11,3,4,4,21,1,0,6,1,13,73,1,0,1,0,8,6,1,1,0,41,0,5,25,4,7,0,23,5,9,0,9,0,22,8,3,5,5,4,5,2,3,9,9,5,4,0,0,1767
"CV22 7",12403,9677,9192,62,423,415,130,30,12,10,29,12,37,285,3,230,18,34,8,3,5,67,3,17,5,10,2,47,4,0,14,23,6,74,1,0,0,1,16,15,0,1,0,41,1,3,24,4,4,5,16,4,4,0,8,0,38,16,6,10,10,7,5,4,1,12,12,8,4,0,0,2535
"CV23 0",13661,11722,10930,71,721,706,138,17,20,19,31,14,37,568,6,453,13,96,15,5,10,70,2,28,9,16,3,40,1,0,13,17,9,108,1,1,0,0,9,7,0,1,1,86,2,2,54,10,2,16,12,3,4,0,5,0,39,18,3,15,6,11,4,3,1,10,9,7,2,1,2,1710
"CV23 8",7792,6395,5888,42,465,458,81,3,5,5,36,4,28,377,15,185,11,166,7,0,7,57,1,23,12,8,3,33,2,1,9,15,6,44,0,0,0,0,4,3,0,0,1,34,1,0,27,4,1,1,6,1,2,0,3,0,19,10,1,9,0,4,5,5,0,10,10,8,2,0,2,1265
"CV23 9",5535,4378,4119,33,226,223,42,7,10,4,8,3,10,181,6,154,1,20,3,1,2,21,0,5,2,3,0,16,0,0,8,6,2,30,3,0,0,3,6,2,0,1,3,18,0,2,10,0,6,0,3,0,0,1,2,0,15,8,2,6,1,5,1,1,0,1,1,1,0,0,0,1090
"CV3  1",7472,5270,4648,86,536,526,213,43,20,20,8,3,119,313,8,200,23,82,10,2,8,293,11,164,23,112,29,118,5,0,7,82,24,194,28,9,9,10,16,15,0,0,1,141,10,7,108,10,6,0,9,0,8,0,1,0,19,7,3,4,1,2,9,9,0,6,6,4,2,0,0,1690
"CV3  2",16692,13730,13164,175,391,377,139,24,14,24,8,5,64,238,13,162,10,53,14,6,8,129,2,61,15,32,14,66,1,0,11,32,22,257,12,5,4,3,7,3,1,3,0,212,3,3,187,14,4,1,26,3,18,0,5,0,28,11,4,7,0,2,15,11,4,10,10,4,6,0,0,2538
"CV3  3",7112,4780,4371,94,315,309,118,23,9,7,4,5,70,191,17,140,3,31,6,4,2,184,6,94,25,37,32,84,9,1,6,37,31,51,0,0,0,0,2,2,0,0,0,48,4,2,36,3,3,0,1,0,0,0,1,0,16,12,1,11,0,1,3,3,0,0,0,0,0,0,0,2081
"CV3  4",9163,7687,7271,106,310,306,107,17,14,15,16,4,41,199,23,123,5,48,4,2,2,88,6,36,13,13,10,46,5,0,5,27,9,308,4,3,0,1,17,10,0,7,0,282,0,4,256,13,5,4,5,1,2,0,2,0,20,11,1,10,2,0,7,7,0,3,3,3,0,0,0,1057
"CV3  5",9322,7254,6859,170,225,223,86,11,12,6,3,3,51,137,9,88,22,18,2,0,2,90,7,46,9,30,7,37,5,0,1,13,18,277,44,3,2,39,38,35,0,1,2,182,2,20,138,8,14,0,13,2,3,0,8,0,11,6,0,6,2,1,2,1,1,1,1,1,0,0,0,1689
"CV3  6",8532,7245,7042,70,133,126,67,4,11,12,5,4,31,59,0,35,1,23,7,1,6,36,5,14,3,10,1,17,1,0,0,10,6,237,26,1,1,24,57,44,2,1,10,145,0,2,126,16,1,0,7,4,0,0,3,2,10,5,0,5,1,3,1,1,0,3,3,2,1,0,0,1001
"CV31 1",10305,8345,7602,106,637,609,321,36,30,53,120,28,54,288,3,218,14,53,28,10,18,26,3,5,3,1,1,18,3,0,9,2,4,264,9,3,2,4,24,17,0,4,3,214,1,0,195,12,4,2,16,2,3,7,4,1,26,12,6,6,3,9,2,0,2,5,5,4,1,0,0,1639
"CV31 2",8828,6812,6355,145,312,294,152,11,21,63,36,7,14,142,2,106,3,31,18,11,7,29,1,10,4,5,1,18,7,0,6,4,1,181,2,0,2,0,10,6,2,1,1,151,1,0,138,6,6,0,16,4,6,1,5,2,21,15,6,9,0,6,0,0,0,12,11,7,4,1,0,1773
"CV31 3",6882,5375,4857,103,415,403,195,16,25,35,50,16,53,208,6,156,10,36,12,7,5,45,6,15,5,8,2,24,3,0,8,3,10,211,13,4,0,9,32,17,4,5,6,139,3,1,125,8,2,0,21,7,4,2,8,6,17,10,5,5,3,3,1,1,0,7,7,6,1,0,0,1227
"CV32 4",5577,5003,4696,83,224,217,135,20,27,21,18,12,37,82,1,49,8,24,7,2,5,14,3,5,2,1,2,6,0,0,4,1,1,71,4,2,1,1,7,2,0,2,3,51,0,3,39,7,1,1,9,2,4,2,1,0,20,14,3,11,0,3,3,2,1,10,10,7,3,0,0,459
"CV32 5",11798,10133,9552,139,442,414,287,60,46,35,37,22,87,127,3,64,8,52,28,9,19,50,3,14,3,10,1,33,7,0,13,7,6,241,13,3,0,10,68,37,13,10,8,103,0,2,86,7,7,1,45,8,20,5,12,12,68,51,20,31,3,7,7,5,2,31,31,20,11,0,0,1275
"CV32 6",6570,5640,5377,70,193,180,131,22,18,8,23,32,28,49,2,22,6,19,13,3,10,23,3,3,1,1,1,17,0,0,7,4,6,99,5,1,0,4,18,10,2,6,0,68,0,0,60,6,2,0,8,2,4,0,2,0,33,25,7,18,1,3,4,2,2,14,14,10,4,0,1,760
"CV32 7",9613,7191,6910,116,165,157,95,15,13,17,19,6,25,62,4,42,0,16,8,3,5,31,7,4,0,3,1,20,1,1,8,3,7,79,9,1,0,8,5,3,1,0,1,43,0,1,34,6,2,0,21,5,12,1,3,1,25,14,7,7,0,10,1,1,0,2,2,1,1,0,1,2284
"CV33 9",10723,9484,9108,67,309,294,180,29,37,23,27,13,51,114,2,69,8,35,15,4,11,16,1,6,2,2,2,9,0,0,7,2,0,106,4,3,1,0,15,9,0,6,0,74,0,0,64,9,1,0,12,4,1,1,6,1,37,27,7,20,0,8,2,1,1,25,25,21,4,0,0,1055
"CV34 4",7001,5907,5751,37,119,111,68,15,11,9,6,6,21,43,4,23,4,12,8,4,4,17,0,5,1,4,0,12,0,0,8,4,0,87,1,0,0,1,29,13,12,2,2,44,0,2,33,8,1,0,13,3,3,1,6,0,26,22,9,13,0,2,2,2,0,18,18,9,9,0,0,946
"CV34 5",16851,13658,13259,118,281,274,147,22,19,19,30,19,38,127,2,79,10,36,7,2,5,63,4,22,2,17,3,37,2,0,9,16,10,272,8,0,2,6,26,11,2,8,5,194,0,5,165,15,7,2,42,7,25,1,9,2,29,19,5,14,0,4,6,5,1,15,15,10,5,0,0,2814
"CV34 6",21804,19174,18466,133,575,546,286,36,37,44,45,39,85,260,16,149,27,68,29,13,16,123,6,36,13,18,5,81,0,0,36,22,23,327,9,0,3,6,37,29,0,7,1,240,2,6,198,24,4,6,41,8,11,3,19,0,76,52,15,37,4,15,5,3,2,22,22,13,9,0,0,2082
"CV35 0",4961,3947,3858,28,61,59,32,4,3,5,5,2,13,27,3,15,6,3,2,1,1,11,1,1,0,0,1,9,0,0,5,4,0,35,0,0,0,0,8,6,0,2,0,19,0,2,11,5,0,1,8,0,6,0,2,0,11,9,1,8,0,2,0,0,0,7,6,4,2,1,0,950
"CV35 7",4385,3873,3763,28,82,78,36,7,1,6,9,7,6,42,4,17,3,18,4,1,3,8,1,0,0,0,0,7,0,0,7,0,0,34,0,0,0,0,2,0,0,1,1,31,0,0,24,6,1,0,1,0,1,0,0,0,5,2,1,1,1,0,2,2,0,7,7,5,2,0,0,458
"CV35 8",4247,3642,3578,11,53,53,31,3,7,10,2,2,7,22,2,7,1,12,0,0,0,9,1,3,1,1,1,5,0,0,3,1,1,10,0,0,0,0,1,0,0,1,0,7,0,0,7,0,0,0,2,0,2,0,0,0,7,5,1,4,0,1,1,1,0,9,9,7,2,0,0,570
